證券代號,證券名稱,產業內容
1471,首利,"機殼, 電源供應器"
1472,三洋實業,"結構工程, 機電工程, 營造業, 工程承攬"
1473,台南,成衣及其它家居紡織類品
1474,弘裕,織布
1475,業旺,染整
1476,儒鴻,"織布, 成衣及其它家居紡織類品"
1477,聚陽,成衣及其它家居紡織類品
1503,士電,"安全監控系統, 輸送機械及零配件, 車用機械傳動設備及零配件, 冷凍空調設備及零件, 機電系統工程, 機電工程, 其他, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 電力系統"
1504,東元,"傳動元件, 電控元件, 冷凍空調設備及零件, 機電系統工程, 機電工程, 移動控制, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 監控系統, 電力系統"
1506,正道,"車用機械傳動設備及零配件, 冷凍空調設備及零件, 金屬加工處理, 其他"
1512,瑞利,"車用機械傳動設備及零配件, 其他"
1513,中興電,"金屬加工用機械, 冷凍空調設備及零件, 機電系統工程, 金屬加工處理, 建設業, 物業管理, 太陽能發電設備/系統及系統工程, 太陽能電廠, 風場規劃, 風場營造, 高/低壓輸電設施, 配電管理設施, 高壓AMI, 低壓AMI, 能源管理服務, 系統整合服務"
1514,亞力,"機電系統工程, 配電系統, 電力系統"
1515,力山,手工具機
1516,川飛,其他
1517,利奇,車用機械傳動設備及零配件
1519,華城,"機電系統工程, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 配電系統, 變壓器, 電力系統, 高/低壓輸電設施, 配電管理設施, 電網營造"
1521,大億,車燈
1522,堤維西,車燈
1524,耿鼎,鈑金
1525,江申,其他
1526,日馳,傳動元件
1527,鑽全,手工具機
1528,恩德,"生產製程及檢測設備, 專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等), 貿易商、代理商、經銷商"
1529,樂事綠能,"機電系統工程, 太陽能發電設備/系統及系統工程, 太陽能電廠"
1530,亞崴,金屬加工用機械
1531,高林股,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等)
1532,勤美,"娛樂服務業, 旅館服務業, 鋼鑄鐵元件, 建設業, 零售通路"
1533,車王電,"電控元件, 手工具機, 車用機械傳動設備及零配件, 其他, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件"
1535,中宇,機電系統工程
1536,和大,"傳動元件, 其他, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件"
1537,廣隆,"其他電腦及週邊設備之零組件, 五金元件及零配件, 車用機械傳動設備及零配件, 機電系統工程, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件"
1538,正峰,"手工具機, 車燈, 燈具/應用"
1539,巨庭,手工具機
1540,喬福,金屬加工用機械
1541,錩泰,手工具機
1558,伸興,"專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等), 手工具機"
1560,中砂,五金元件及零配件
1563,巧新,"車用機械傳動設備及零配件, 鋁合金鋼圈"
1565,精華,隱型眼鏡、光學鏡片
1568,倉佑,"車用機械傳動設備及零配件, 其他"
1569,濱川,"機殼, 其他電腦及週邊設備之零組件"
1570,力肯,手工具機
1580,新麥,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等)
1582,信錦,"機構樞紐, 金屬、塑膠模具"
